Constituent,Julian_day,Seg_26 ,
Turbidity                             ,   170.701,      1.1463,
Total_suspended_Solids                ,   170.701,      1.0471,
pH_                                   ,   170.701,      8.0464,
Secchi_disk_depth                     ,   170.701,      2.4151,
Temperature,   180.701,      19.462,
TDS                                   ,   180.701,     51.1137,
GC1                                   ,   180.701,    100.0000,
ISS                                   ,   180.701,      0.0003,
Phosphate                             ,   180.701,      0.0385,
Ammonium                              ,   180.701,      0.1348,
Nitrate-Nitrite                       ,   180.701,      0.3598,
Labile_DOM                            ,   180.701,      0.0456,
Refractory_DOM                        ,   180.701,      2.4144,
Labile_POM                            ,   180.701,      0.3807,
Algae                                 ,   180.701,      0.4038,
Dissolved_oxygen                      ,   180.701,      4.6450,
Total_nitrogen                        ,   180.701,      0.7540,
Unionized_ammonia                     ,   180.701,      0.0091,
Total_phosphorus                      ,   180.701,      0.0548,
Turbidity                             ,   180.701,      0.8252,
Total_suspended_Solids                ,   180.701,      0.7858,
pH_                                   ,   180.701,      8.1036,
Secchi_disk_depth                     ,   180.701,      2.5334,
Temperature,   190.701,      20.818,
TDS                                   ,   190.701,     51.0396,
GC1                                   ,   190.701,    100.0000,
ISS                                   ,   190.701,      0.0001,
Phosphate                             ,   190.701,      0.0376,
Ammonium                              ,   190.701,      0.1320,
Nitrate-Nitrite                       ,   190.701,      0.3702,
Labile_DOM                            ,   190.701,      0.0284,
Refractory_DOM                        ,   190.701,      2.5067,
Labile_POM                            ,   190.701,      0.3003,
Algae                                 ,   190.701,      0.2439,
Dissolved_oxygen                      ,   190.701,      3.5100,
Total_nitrogen                        ,   190.701,      0.7486,
Unionized_ammonia                     ,   190.701,      0.0059,
Total_phosphorus                      ,   190.701,      0.0530,
Turbidity                             ,   190.701,      0.5462,
Total_suspended_Solids                ,   190.701,      0.5448,
pH_                                   ,   190.701,      8.1066,
Secchi_disk_depth                     ,   190.701,      2.7053,
Temperature,   200.701,      21.439,
TDS                                   ,   200.701,     50.9756,
GC1                                   ,   200.701,    100.0000,
ISS                                   ,   200.701,      0.0001,
Phosphate                             ,   200.701,      0.0368,
Ammonium                              ,   200.701,      0.1355,
Nitrate-Nitrite                       ,   200.701,      0.3689,
Labile_DOM                            ,   200.701,      0.0244,
Refractory_DOM                        ,   200.701,      2.5782,
Labile_POM                            ,   200.701,      0.2489,
Algae                                 ,   200.701,      0.2551,
Dissolved_oxygen                      ,   200.701,      2.9610,
Total_nitrogen                        ,   200.701,      0.7528,
Unionized_ammonia                     ,   200.701,      0.0075,
Total_phosphorus                      ,   200.701,      0.0523,
Turbidity                             ,   200.701,      0.5012,
Total_suspended_Solids                ,   200.701,      0.5046,
pH_                                   ,   200.701,      8.1343,
Secchi_disk_depth                     ,   200.701,      2.7405,
Temperature,   210.701,      20.952,
TDS                                   ,   210.701,     50.9006,
GC1                                   ,   210.701,    100.0000,
ISS                                   ,   210.701,      0.0001,
Phosphate                             ,   210.701,      0.0368,
Ammonium                              ,   210.701,      0.1534,
Nitrate-Nitrite                       ,   210.701,      0.3094,
Labile_DOM                            ,   210.701,      0.0389,
Refractory_DOM                        ,   210.701,      2.6887,
Labile_POM                            ,   210.701,      0.2950,
Algae                                 ,   210.701,      0.3888,
Dissolved_oxygen                      ,   210.701,      3.0747,
Total_nitrogen                        ,   210.701,      0.7357,
Unionized_ammonia                     ,   210.701,      0.0132,
Total_phosphorus                      ,   210.701,      0.0539,
Turbidity                             ,   210.701,      0.7027,
Total_suspended_Solids                ,   210.701,      0.6843,
pH_                                   ,   210.701,      8.1817,
Secchi_disk_depth                     ,   210.701,      2.5907,
Temperature,   220.701,      21.249,
TDS                                   ,   220.701,     50.8748,
GC1                                   ,   220.701,    100.0000,
ISS                                   ,   220.701,      0.0001,
Phosphate                             ,   220.701,      0.0364,
Ammonium                              ,   220.701,      0.1679,
Nitrate-Nitrite                       ,   220.701,      0.2566,
Labile_DOM                            ,   220.701,      0.0366,
Refractory_DOM                        ,   220.701,      2.7995,
Labile_POM                            ,   220.701,      0.3059,
Algae                                 ,   220.701,      0.2561,
Dissolved_oxygen                      ,   220.701,      2.9772,
Total_nitrogen                        ,   220.701,      0.6965,
Unionized_ammonia                     ,   220.701,      0.0125,
Total_phosphorus                      ,   220.701,      0.0534,
Turbidity                             ,   220.701,      0.5618,
Total_suspended_Solids                ,   220.701,      0.5624,
pH_                                   ,   220.701,      8.2021,
Secchi_disk_depth                     ,   220.701,      2.6787,
Temperature,   230.701,      21.337,
TDS                                   ,   230.701,     50.8858,
GC1                                   ,   230.701,    100.0000,
ISS                                   ,   230.701,      0.0001,
Phosphate                             ,   230.701,      0.0362,
Ammonium                              ,   230.701,      0.1772,
Nitrate-Nitrite                       ,   230.701,      0.2144,
Labile_DOM                            ,   230.701,      0.0416,
Refractory_DOM                        ,   230.701,      2.8740,
Labile_POM                            ,   230.701,      0.3090,
Algae                                 ,   230.701,      0.2793,
Dissolved_oxygen                      ,   230.701,      3.1793,
Total_nitrogen                        ,   230.701,      0.6720,
Unionized_ammonia                     ,   230.701,      0.0110,
Total_phosphorus                      ,   230.701,      0.0538,
Turbidity                             ,   230.701,      0.5910,
Total_suspended_Solids                ,   230.701,      0.5890,
pH_                                   ,   230.701,      8.2211,
Secchi_disk_depth                     ,   230.701,      2.6543,
Temperature,   240.701,      21.302,
TDS                                   ,   240.701,     51.0762,
GC1                                   ,   240.701,    100.0000,
ISS                                   ,   240.701,      0.0002,
Phosphate                             ,   240.701,      0.0371,
Ammonium                              ,   240.701,      0.1926,
Nitrate-Nitrite                       ,   240.701,      0.1931,
Labile_DOM                            ,   240.701,      0.0487,
Refractory_DOM                        ,   240.701,      3.0551,
Labile_POM                            ,   240.701,      0.3239,
Algae                                 ,   240.701,      0.3266,
Dissolved_oxygen                      ,   240.701,      3.1393,
Total_nitrogen                        ,   240.701,      0.6862,
Unionized_ammonia                     ,   240.701,      0.0172,
Total_phosphorus                      ,   240.701,      0.0559,
Turbidity                             ,   240.701,      0.6606,
Total_suspended_Solids                ,   240.701,      0.6511,
pH_                                   ,   240.701,      8.2288,
Secchi_disk_depth                     ,   240.701,      2.6021,
Temperature,   250.701,      21.230,
TDS                                   ,   250.701,     51.4276,
GC1                                   ,   250.701,    100.0000,
ISS                                   ,   250.701,      0.0035,
Phosphate                             ,   250.701,      0.0363,
Ammonium                              ,   250.701,      0.2009,
Nitrate-Nitrite                       ,   250.701,      0.1660,
Labile_DOM                            ,   250.701,      0.0536,
Refractory_DOM                        ,   250.701,      3.3071,
Labile_POM                            ,   250.701,      0.3610,
Algae                                 ,   250.701,      0.3330,
Dissolved_oxygen                      ,   250.701,      3.3317,
Total_nitrogen                        ,   250.701,      0.6914,
Unionized_ammonia                     ,   250.701,      0.0175,
Total_phosphorus                      ,   250.701,      0.0566,
Turbidity                             ,   250.701,      0.7128,
Total_suspended_Solids                ,   250.701,      0.6982,
pH_                                   ,   250.701,      8.2860,
Secchi_disk_depth                     ,   250.701,      2.5637,
Temperature,   260.701,      21.076,
TDS                                   ,   260.701,     51.6117,
GC1                                   ,   260.701,    100.0000,
ISS                                   ,   260.701,      0.0062,
Phosphate                             ,   260.701,      0.0342,
Ammonium                              ,   260.701,      0.2039,
Nitrate-Nitrite                       ,   260.701,      0.1419,
Labile_DOM                            ,   260.701,      0.0526,
Refractory_DOM                        ,   260.701,      3.5145,
Labile_POM                            ,   260.701,      0.3499,
Algae                                 ,   260.701,      0.2826,
Dissolved_oxygen                      ,   260.701,      3.8384,
Total_nitrogen                        ,   260.701,      0.6821,
Unionized_ammonia                     ,   260.701,      0.0188,
Total_phosphorus                      ,   260.701,      0.0552,
Turbidity                             ,   260.701,      0.6450,
Total_suspended_Solids                ,   260.701,      0.6393,
pH_                                   ,   260.701,      8.3536,
Secchi_disk_depth                     ,   260.701,      2.6089,
Temperature,   270.701,      19.596,
TDS                                   ,   270.701,     51.7289,
GC1                                   ,   270.701,    100.0000,
ISS                                   ,   270.701,      0.0063,
Phosphate                             ,   270.701,      0.0334,
Ammonium                              ,   270.701,      0.2177,
Nitrate-Nitrite                       ,   270.701,      0.1433,
Labile_DOM                            ,   270.701,      0.0441,
Refractory_DOM                        ,   270.701,      3.6513,
Labile_POM                            ,   270.701,      0.3004,
Algae                                 ,   270.701,      0.1661,
Dissolved_oxygen                      ,   270.701,      3.8566,
Total_nitrogen                        ,   270.701,      0.6941,
Unionized_ammonia                     ,   270.701,      0.0232,
Total_phosphorus                      ,   270.701,      0.0542,
Turbidity                             ,   270.701,      0.4626,
Total_suspended_Solids                ,   270.701,      0.4738,
pH_                                   ,   270.701,      8.3271,
Secchi_disk_depth                     ,   270.701,      2.7607,
Temperature,   280.701,      18.080,
TDS                                   ,   280.701,     51.9483,
GC1                                   ,   280.701,    100.0000,
ISS                                   ,   280.701,      0.0045,
Phosphate                             ,   280.701,      0.0333,
Ammonium                              ,   280.701,      0.2186,
Nitrate-Nitrite                       ,   280.701,      0.1577,
Labile_DOM                            ,   280.701,      0.0298,
Refractory_DOM                        ,   280.701,      3.7850,
Labile_POM                            ,   280.701,      0.2279,
Algae                                 ,   280.701,      0.1298,
Dissolved_oxygen                      ,   280.701,      4.0761,
Total_nitrogen                        ,   280.701,      0.7103,
Unionized_ammonia                     ,   280.701,      0.0287,
Total_phosphorus                      ,   280.701,      0.0541,
Turbidity                             ,   280.701,      0.3452,
Total_suspended_Solids                ,   280.701,      0.3625,
pH_                                   ,   280.701,      8.3513,
Secchi_disk_depth                     ,   280.701,      2.8780,
Temperature,   290.701,      17.401,
TDS                                   ,   290.701,     53.0895,
GC1                                   ,   290.701,    100.0000,
ISS                                   ,   290.701,      0.0065,
Phosphate                             ,   290.701,      0.0328,
Ammonium                              ,   290.701,      0.2120,
Nitrate-Nitrite                       ,   290.701,      0.1984,
Labile_DOM                            ,   290.701,      0.0272,
Refractory_DOM                        ,   290.701,      4.1282,
Labile_POM                            ,   290.701,      0.1762,
Algae                                 ,   290.701,      0.1361,
Dissolved_oxygen                      ,   290.701,      4.5413,
Total_nitrogen                        ,   290.701,      0.7676,
Unionized_ammonia                     ,   290.701,      0.0233,
Total_phosphorus                      ,   290.701,      0.0551,
Turbidity                             ,   290.701,      0.3010,
Total_suspended_Solids                ,   290.701,      0.3193,
pH_                                   ,   290.701,      8.2601,
Secchi_disk_depth                     ,   290.701,      2.9307,
Temperature,   300.701,      16.193,
TDS                                   ,   300.701,     53.3836,
GC1                                   ,   300.701,    100.0000,
ISS                                   ,   300.701,      0.0041,
Phosphate                             ,   300.701,      0.0330,
Ammonium                              ,   300.701,      0.1964,
Nitrate-Nitrite                       ,   300.701,      0.2289,
Labile_DOM                            ,   300.701,      0.0175,
Refractory_DOM                        ,   300.701,      4.2174,
Labile_POM                            ,   300.701,      0.1318,
Algae                                 ,   300.701,      0.0668,
Dissolved_oxygen                      ,   300.701,      4.9360,
Total_nitrogen                        ,   300.701,      0.7799,
Unionized_ammonia                     ,   300.701,      0.0171,
Total_phosphorus                      ,   300.701,      0.0552,
Turbidity                             ,   300.701,      0.1824,
Total_suspended_Solids                ,   300.701,      0.2029,
pH_                                   ,   300.701,      8.2360,
Secchi_disk_depth                     ,   300.701,      3.0635,
Temperature,   310.701,      14.942,
TDS                                   ,   310.701,     53.6437,
GC1                                   ,   310.701,    100.0000,
ISS                                   ,   310.701,      0.0041,
Phosphate                             ,   310.701,      0.0339,
Ammonium                              ,   310.701,      0.1899,
Nitrate-Nitrite                       ,   310.701,      0.2483,
Labile_DOM                            ,   310.701,      0.0121,
Refractory_DOM                        ,   310.701,      4.2512,
Labile_POM                            ,   310.701,      0.0803,
Algae                                 ,   310.701,      0.0263,
Dissolved_oxygen                      ,   310.701,      5.1659,
Total_nitrogen                        ,   310.701,      0.7876,
Unionized_ammonia                     ,   310.701,      0.0055,
Total_phosphorus                      ,   310.701,      0.0558,
Turbidity                             ,   310.701,      0.0943,
Total_suspended_Solids                ,   310.701,      0.1107,
pH_                                   ,   310.701,      7.9142,
Secchi_disk_depth                     ,   310.701,      3.1834,
Temperature,   320.701,      14.272,
TDS                                   ,   320.701,     53.8428,
GC1                                   ,   320.701,    100.0000,
ISS                                   ,   320.701,      0.0041,
Phosphate                             ,   320.701,      0.0342,
Ammonium                              ,   320.701,      0.1569,
Nitrate-Nitrite                       ,   320.701,      0.2682,
Labile_DOM                            ,   320.701,      0.0088,
Refractory_DOM                        ,   320.701,      4.3131,
Labile_POM                            ,   320.701,      0.0492,
Algae                                 ,   320.701,      0.0144,
Dissolved_oxygen                      ,   320.701,      5.8113,
Total_nitrogen                        ,   320.701,      0.7761,
Unionized_ammonia                     ,   320.701,      0.0021,
Total_phosphorus                      ,   320.701,      0.0561,
Turbidity                             ,   320.701,      0.0554,
Total_suspended_Solids                ,   320.701,      0.0678,
pH_                                   ,   320.701,      7.7708,
Secchi_disk_depth                     ,   320.701,      3.2421,
Temperature,   330.701,      12.204,
TDS                                   ,   330.701,     54.2819,
GC1                                   ,   330.701,    100.0000,
ISS                                   ,   330.701,      0.0061,
Phosphate                             ,   330.701,      0.0338,
Ammonium                              ,   330.701,      0.1569,
Nitrate-Nitrite                       ,   330.701,      0.2931,
Labile_DOM                            ,   330.701,      0.0077,
Refractory_DOM                        ,   330.701,      4.3911,
Labile_POM                            ,   330.701,      0.0260,
Algae                                 ,   330.701,      0.0023,
Dissolved_oxygen                      ,   330.701,      6.1591,
Total_nitrogen                        ,   330.701,      0.8039,
Unionized_ammonia                     ,   330.701,      0.0007,
Total_phosphorus                      ,   330.701,      0.0559,
Turbidity                             ,   330.701,      0.0268,
Total_suspended_Solids                ,   330.701,      0.0344,
pH_                                   ,   330.701,      7.4585,
Secchi_disk_depth                     ,   330.701,      3.2919,
Temperature,   340.701,      11.001,
TDS                                   ,   340.701,     54.9071,
GC1                                   ,   340.701,    100.0000,
ISS                                   ,   340.701,      0.0176,
Phosphate                             ,   340.701,      0.0325,
Ammonium                              ,   340.701,      0.1275,
Nitrate-Nitrite                       ,   340.701,      0.3257,
Labile_DOM                            ,   340.701,      0.0589,
Refractory_DOM                        ,   340.701,      4.8040,
Labile_POM                            ,   340.701,      0.0162,
Algae                                 ,   340.701,      0.0006,
Dissolved_oxygen                      ,   340.701,      6.8194,
Total_nitrogen                        ,   340.701,      0.8433,
Unionized_ammonia                     ,   340.701,      0.0005,
Total_phosphorus                      ,   340.701,      0.0569,
Turbidity                             ,   340.701,      0.0271,
Total_suspended_Solids                ,   340.701,      0.0343,
pH_                                   ,   340.701,      7.3629,
Secchi_disk_depth                     ,   340.701,      3.3076,
Temperature,   350.701,      10.377,
TDS                                   ,   350.701,     55.0312,
GC1                                   ,   350.701,    100.0000,
ISS                                   ,   350.701,      0.0086,
Phosphate                             ,   350.701,      0.0323,
Ammonium                              ,   350.701,      0.1049,
Nitrate-Nitrite                       ,   350.701,      0.3474,
Labile_DOM                            ,   350.701,      0.0199,
Refractory_DOM                        ,   350.701,      4.8107,
Labile_POM                            ,   350.701,      0.0091,
Algae                                 ,   350.701,      0.0001,
Dissolved_oxygen                      ,   350.701,      7.4289,
Total_nitrogen                        ,   350.701,      0.8397,
Unionized_ammonia                     ,   350.701,      0.0005,
Total_phosphorus                      ,   350.701,      0.0565,
Turbidity                             ,   350.701,      0.0135,
Total_suspended_Solids                ,   350.701,      0.0179,
pH_                                   ,   350.701,      7.3939,
Secchi_disk_depth                     ,   350.701,      3.3193,
