$Flow file for segment 31
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    88.306,   12.620,           12.600,
    88.403,   12.620,           12.600,
    88.500,   12.620,           12.600,
    88.604,   12.620,           12.600,
    88.701,   12.620,           12.600,
    88.806,   12.620,           12.600,
    88.903,   12.620,           12.600,
    89.000,   12.620,           12.600,
    89.104,   12.620,           12.600,
    89.201,   12.620,           12.600,
    89.306,   12.620,           12.600,
    89.403,   12.620,           12.600,
    89.500,   12.620,           12.600,
    89.604,   12.620,           12.600,
    89.701,   12.620,           12.600,
    89.806,   12.620,           12.600,
    89.903,   12.620,           12.600,
    90.000,   12.620,           12.600,
    90.104,   12.620,           12.600,
    90.201,   12.620,           12.600,
    90.306,   12.620,           12.600,
    90.403,   12.620,           12.600,
    90.500,   12.620,           12.600,
    90.604,   12.620,           12.600,
    90.701,   12.620,           12.600,
    90.806,   12.620,           12.600,
    90.903,   12.620,           12.600,
    91.000,   12.620,           12.600,
    91.104,   12.620,           12.600,
    91.201,   12.620,           12.600,
    91.306,   12.620,           12.600,
    91.403,   12.620,           12.600,
    91.500,   12.620,           12.600,
    91.604,   12.620,           12.600,
    91.701,   12.620,           12.600,
    91.806,   12.620,           12.600,
    91.903,   12.620,           12.600,
    92.000,   12.620,           12.600,
    92.104,   12.620,           12.600,
    92.201,   12.620,           12.600,
    92.306,   12.620,           12.600,
    92.403,   12.620,           12.600,
    92.500,   12.620,           12.600,
    92.604,   12.620,           12.600,
    92.701,   12.620,           12.600,
    92.806,   12.620,           12.600,
    92.903,   12.620,           12.600,
    93.000,   12.620,           12.600,
    93.104,   12.620,           12.600,
    93.201,   12.620,           12.600,
    93.306,   12.620,           12.600,
    93.403,   12.620,           12.600,
    93.500,   12.620,           12.600,
    93.604,   12.620,           12.600,
    93.701,   12.620,           12.600,
    93.806,   12.620,           12.600,
    93.903,   12.620,           12.600,
    94.000,   12.620,           12.600,
    94.104,   12.620,           12.600,
    94.201,   12.620,           12.600,
    94.306,   12.620,           12.600,
    94.403,   12.620,           12.600,
    94.500,   12.620,           12.600,
    94.604,   12.620,           12.600,
    94.701,   12.620,           12.600,
    94.806,   12.620,           12.600,
    94.903,   12.620,           12.600,
    95.000,   12.620,           12.600,
    95.104,   12.620,           12.600,
    95.201,   12.620,           12.600,
    95.306,   12.620,           12.600,
    95.403,   12.620,           12.600,
    95.500,   12.620,           12.600,
    95.604,   12.620,           12.600,
    95.701,   12.620,           12.600,
    95.806,   12.620,           12.600,
    95.903,   12.620,           12.600,
    96.000,   12.620,           12.600,
    96.104,   12.620,           12.600,
    96.201,   12.620,           12.600,
    96.306,   12.620,           12.600,
    96.403,   12.620,           12.600,
    96.500,   12.620,           12.600,
    96.604,   12.620,           12.600,
    96.701,   12.620,           12.600,
    96.806,   12.620,           12.600,
    96.903,   12.620,           12.600,
    97.000,   12.620,           12.600,
    97.104,   12.620,           12.600,
    97.201,   12.620,           12.600,
    97.306,   12.620,           12.600,
    97.403,   12.620,           12.600,
    97.500,   12.620,           12.600,
    97.604,   12.620,           12.600,
    97.701,   12.620,           12.600,
    97.806,   12.620,           12.600,
    97.903,   12.620,           12.600,
    98.000,   12.620,           12.600,
    98.104,   12.620,           12.600,
    98.201,   12.620,           12.600,
    98.306,   12.620,           12.600,
    98.403,   12.620,           12.600,
    98.500,   12.620,           12.600,
    98.604,   12.620,           12.600,
    98.701,   12.620,           12.600,
    98.806,   12.620,           12.600,
    98.903,   12.620,           12.600,
    99.000,   12.620,           12.600,
    99.104,   12.620,           12.600,
    99.201,   12.620,           12.600,
    99.306,   12.620,           12.600,
    99.403,   12.620,           12.600,
    99.500,   12.620,           12.600,
    99.604,   12.620,           12.600,
    99.701,   12.620,           12.600,
    99.806,   12.620,           12.600,
    99.903,   12.620,           12.600,
   100.000,   12.620,           12.600,
   100.104,   12.620,           12.600,
   100.201,   12.620,           12.600,
   100.306,   12.620,           12.600,
   100.403,   12.620,           12.600,
   100.500,   12.620,           12.600,
   100.604,   12.620,           12.600,
   100.701,   12.620,           12.600,
   100.806,   12.620,           12.600,
   100.903,   12.620,           12.600,
   101.000,   12.620,           12.600,
   101.104,   12.620,           12.600,
   101.201,   12.620,           12.600,
   101.306,   12.620,           12.600,
   101.403,   12.620,           12.600,
   101.500,   12.620,           12.600,
   101.604,   12.620,           12.600,
   101.701,   12.620,           12.600,
   101.806,   12.620,           12.600,
   101.903,   12.620,           12.600,
   102.000,   12.620,           12.600,
   102.104,   12.620,           12.600,
   102.201,   12.620,           12.600,
   102.306,   12.620,           12.600,
   102.403,   12.620,           12.600,
   102.500,   12.620,           12.600,
   102.604,   12.620,           12.600,
   102.701,   12.620,           12.600,
   102.806,   12.620,           12.600,
   102.903,   12.620,           12.600,
   103.000,   12.620,           12.600,
   103.104,   12.620,           12.600,
   103.201,   12.620,           12.600,
   103.306,   12.620,           12.600,
   103.403,   12.620,           12.600,
   103.500,   12.620,           12.600,
   103.604,   12.620,           12.600,
   103.701,   12.620,           12.600,
   103.806,   12.620,           12.600,
   103.903,   12.620,           12.600,
   104.000,   12.620,           12.600,
   104.104,   12.620,           12.600,
   104.201,   12.620,           12.600,
   104.306,   12.620,           12.600,
   104.403,   12.620,           12.600,
   104.500,   12.620,           12.600,
   104.604,   12.620,           12.600,
   104.701,   12.620,           12.600,
   104.806,   12.620,           12.600,
   104.903,   12.620,           12.600,
   105.000,   12.620,           12.600,
   105.104,   12.620,           12.600,
   105.201,   12.620,           12.600,
   105.306,   12.620,           12.600,
   105.403,   12.620,           12.600,
   105.500,   12.620,           12.600,
   105.604,   12.620,           12.600,
   105.701,   12.620,           12.600,
   105.806,   12.620,           12.600,
   105.903,   12.620,           12.600,
   106.000,   12.620,           12.600,
   106.104,   12.620,           12.600,
   106.201,   12.620,           12.600,
   106.306,   12.620,           12.600,
   106.403,   12.620,           12.600,
   106.500,   12.620,           12.600,
   106.604,   12.620,           12.600,
   106.701,   12.620,           12.600,
   106.806,   12.620,           12.600,
   106.903,   12.620,           12.600,
   107.000,   12.620,           12.600,
   107.104,   12.620,           12.600,
   107.201,   12.620,           12.600,
   107.306,   12.620,           12.600,
   107.403,   12.620,           12.600,
   107.500,   12.620,           12.600,
   107.604,   12.620,           12.600,
   107.701,   12.620,           12.600,
   107.806,   12.620,           12.600,
   107.903,   12.620,           12.600,
   108.000,   12.620,           12.600,
   108.104,   12.620,           12.600,
   108.201,   12.620,           12.600,
   108.306,   12.620,           12.600,
   108.403,   12.620,           12.600,
   108.500,   12.620,           12.600,
   108.604,   12.620,           12.600,
   108.701,   12.620,           12.600,
   108.806,   12.620,           12.600,
   108.903,   12.620,           12.600,
   109.000,   12.620,           12.600,
   109.104,   12.620,           12.600,
   109.201,   12.620,           12.600,
   109.306,   12.620,           12.600,
   109.403,   12.620,           12.600,
   109.500,   12.620,           12.600,
   109.604,   12.620,           12.600,
   109.701,   12.620,           12.600,
   109.806,   12.620,           12.600,
   109.903,   12.620,           12.600,
   110.000,   12.620,           12.600,
   110.104,   12.620,           12.600,
   110.201,   12.620,           12.600,
   110.306,   12.620,           12.600,
   110.403,   12.620,           12.600,
   110.500,   12.620,           12.600,
   110.604,   12.620,           12.600,
   110.701,   12.620,           12.600,
   110.806,   12.620,           12.600,
   110.903,   12.620,           12.600,
   111.000,   12.620,           12.600,
   111.104,   12.620,           12.600,
   111.201,   12.620,           12.600,
   111.306,   12.620,           12.600,
   111.403,   12.620,           12.600,
   111.500,   12.620,           12.600,
   111.604,   12.620,           12.600,
   111.701,   12.620,           12.600,
   111.806,   12.620,           12.600,
   111.903,   12.620,           12.600,
   112.000,   12.620,           12.600,
   112.104,   12.620,           12.600,
   112.201,   12.620,           12.600,
   112.306,   12.620,           12.600,
   112.403,   12.620,           12.600,
   112.500,   12.620,           12.600,
   112.604,   12.620,           12.600,
   112.701,   12.620,           12.600,
   112.806,   12.620,           12.600,
   112.903,   12.620,           12.600,
   113.000,   12.620,           12.600,
   113.104,   12.620,           12.600,
   113.201,   12.620,           12.600,
   113.306,   12.620,           12.600,
   113.403,   12.620,           12.600,
   113.500,   12.620,           12.600,
   113.604,   12.620,           12.600,
   113.701,   12.620,           12.600,
   113.806,   12.620,           12.600,
   113.903,   12.620,           12.600,
   114.000,   12.620,           12.600,
   114.104,   12.620,           12.600,
   114.201,   12.620,           12.600,
   114.306,   12.620,           12.600,
   114.403,   12.620,           12.600,
   114.500,   12.620,           12.600,
   114.604,   12.620,           12.600,
   114.701,   12.620,           12.600,
   114.806,   12.620,           12.600,
   114.903,   12.620,           12.600,
   115.000,   12.620,           12.600,
   115.104,   12.620,           12.600,
   115.201,   12.620,           12.600,
   115.306,   12.620,           12.600,
   115.403,   12.620,           12.600,
   115.500,   12.620,           12.600,
   115.604,   12.620,           12.600,
   115.701,   12.620,           12.600,
   115.806,   12.620,           12.600,
   115.903,   12.620,           12.600,
   116.000,   12.620,           12.600,
   116.104,   12.620,           12.600,
   116.201,   12.620,           12.600,
   116.306,   12.620,           12.600,
   116.403,   12.620,           12.600,
   116.500,   12.620,           12.600,
   116.604,   12.620,           12.600,
   116.701,   12.620,           12.600,
   116.806,   12.620,           12.600,
   116.903,   12.620,           12.600,
   117.000,   12.620,           12.600,
   117.104,   12.620,           12.600,
   117.201,   12.620,           12.600,
   117.306,   12.620,           12.600,
   117.403,   12.620,           12.600,
   117.500,   12.620,           12.600,
   117.604,   12.620,           12.600,
   117.701,   12.620,           12.600,
   117.806,   12.620,           12.600,
   117.903,   12.620,           12.600,
   118.000,   12.620,           12.600,
   118.104,   12.620,           12.600,
   118.201,   12.620,           12.600,
   118.306,   12.620,           12.600,
   118.403,   12.620,           12.600,
   118.500,   12.620,           12.600,
   118.604,   12.620,           12.600,
   118.701,   12.620,           12.600,
   118.806,   12.620,           12.600,
   118.903,   12.620,           12.600,
   119.000,   12.620,           12.600,
   119.104,   12.620,           12.600,
   119.201,   12.620,           12.600,
   119.306,   12.620,           12.600,
   119.403,   12.620,           12.600,
   119.500,   12.620,           12.600,
   119.604,   12.620,           12.600,
   119.701,   12.620,           12.600,
   119.806,   12.620,           12.600,
   119.903,   12.620,           12.600,
   120.000,   12.620,           12.600,
   120.104,   12.620,           12.600,
   120.201,   12.620,           12.600,
   120.306,   12.620,           12.600,
   120.403,   12.620,           12.600,
   120.500,   12.620,           12.600,
   120.604,   12.620,           12.600,
   120.701,   12.620,           12.600,
   120.806,   12.620,           12.600,
   120.903,   12.620,           12.600,
   121.000,   12.620,           12.600,
   121.104,   12.620,           12.600,
   121.201,   12.620,           12.600,
   121.306,   12.620,           12.600,
   121.403,   12.620,           12.600,
   121.500,   12.620,           12.600,
   121.604,   12.620,           12.600,
   121.701,   12.620,           12.600,
   121.806,   12.620,           12.600,
   121.903,   12.620,           12.600,
   122.000,   12.620,           12.600,
   122.104,   12.620,           12.600,
   122.201,   12.620,           12.600,
   122.306,   12.620,           12.600,
   122.403,   12.620,           12.600,
   122.500,   12.620,           12.600,
   122.604,   12.620,           12.600,
   122.701,   12.620,           12.600,
   122.806,   12.620,           12.600,
   122.903,   12.620,           12.600,
   123.000,   12.620,           12.600,
   123.104,   12.620,           12.600,
   123.201,   12.620,           12.600,
   123.306,   12.620,           12.600,
   123.403,   12.620,           12.600,
   123.500,   12.620,           12.600,
   123.604,   12.620,           12.600,
   123.701,   12.620,           12.600,
   123.806,   12.620,           12.600,
   123.903,   12.620,           12.600,
   124.000,   12.620,           12.600,
   124.104,   12.620,           12.600,
   124.201,   12.620,           12.600,
   124.306,   12.620,           12.600,
   124.403,   12.620,           12.600,
   124.500,   12.620,           12.600,
   124.604,   12.620,           12.600,
   124.701,   12.620,           12.600,
   124.806,   12.620,           12.600,
   124.903,   12.620,           12.600,
   125.000,   12.620,           12.600,
   125.104,   12.620,           12.600,
   125.201,   12.620,           12.600,
   125.306,   12.620,           12.600,
   125.403,   12.620,           12.600,
   125.500,   12.620,           12.600,
   125.604,   12.620,           12.600,
   125.701,   12.620,           12.600,
   125.806,   12.620,           12.600,
   125.903,   12.620,           12.600,
   126.000,   12.620,           12.600,
   126.104,   12.620,           12.600,
   126.201,   12.620,           12.600,
   126.306,   12.620,           12.600,
   126.403,   12.620,           12.600,
   126.500,   12.620,           12.600,
   126.604,   12.620,           12.600,
   126.701,   12.620,           12.600,
   126.806,   12.620,           12.600,
   126.903,   12.620,           12.600,
   127.000,   12.620,           12.600,
   127.104,   12.620,           12.600,
   127.201,   12.620,           12.600,
   127.306,   12.620,           12.600,
   127.403,   12.620,           12.600,
   127.500,   12.620,           12.600,
   127.604,   12.620,           12.600,
   127.701,   12.620,           12.600,
   127.806,   12.620,           12.600,
   127.903,   12.620,           12.600,
   128.000,   12.620,           12.600,
   128.104,   12.620,           12.600,
   128.201,   12.620,           12.600,
   128.306,   12.620,           12.600,
   128.403,   12.620,           12.600,
   128.500,   12.620,           12.600,
   128.604,   12.620,           12.600,
   128.701,   12.620,           12.600,
   128.806,   12.620,           12.600,
   128.903,   12.620,           12.600,
   129.000,   12.620,           12.600,
   129.104,   12.620,           12.600,
   129.201,   12.620,           12.600,
   129.306,   12.620,           12.600,
   129.403,   12.620,           12.600,
   129.500,   12.620,           12.600,
   129.604,   12.620,           12.600,
   129.701,   12.620,           12.600,
   129.806,   12.620,           12.600,
   129.903,   12.620,           12.600,
   130.000,   12.620,           12.600,
   130.104,   12.620,           12.600,
   130.201,   12.620,           12.600,
   130.306,   12.620,           12.600,
   130.403,   12.620,           12.600,
   130.500,   12.620,           12.600,
   130.604,   12.620,           12.600,
   130.701,   12.620,           12.600,
   130.806,   12.620,           12.600,
   130.903,   12.620,           12.600,
   131.000,   12.620,           12.600,
   131.104,   12.620,           12.600,
   131.201,   12.620,           12.600,
   131.306,   12.620,           12.600,
   131.403,   12.620,           12.600,
   131.500,   12.620,           12.600,
   131.604,   12.620,           12.600,
   131.701,   12.620,           12.600,
   131.806,   12.620,           12.600,
   131.903,   12.620,           12.600,
   132.000,   12.620,           12.600,
   132.104,   12.620,           12.600,
   132.201,   12.620,           12.600,
   132.306,   12.620,           12.600,
   132.403,   12.620,           12.600,
   132.500,   12.620,           12.600,
   132.604,   12.620,           12.600,
   132.701,   12.620,           12.600,
   132.806,   12.620,           12.600,
   132.903,   12.620,           12.600,
   133.000,   12.620,           12.600,
   133.104,   12.620,           12.600,
   133.201,   12.620,           12.600,
   133.306,   12.620,           12.600,
   133.403,   12.620,           12.600,
   133.500,   12.620,           12.600,
   133.604,   12.620,           12.600,
   133.701,   12.620,           12.600,
   133.806,   12.620,           12.600,
   133.903,   12.620,           12.600,
   134.000,   12.620,           12.600,
   134.104,   12.620,           12.600,
   134.201,   12.620,           12.600,
   134.306,   12.620,           12.600,
   134.403,   12.620,           12.600,
   134.500,   12.620,           12.600,
   134.604,   12.620,           12.600,
   134.701,   12.620,           12.600,
   134.806,   12.620,           12.600,
   134.903,   12.620,           12.600,
   135.000,   12.620,           12.600,
   135.104,   12.620,           12.600,
   135.201,   12.620,           12.600,
   135.306,   12.620,           12.600,
   135.403,   12.620,           12.600,
   135.500,   12.620,           12.600,
   135.604,   12.620,           12.600,
   135.701,   12.620,           12.600,
   135.806,   12.620,           12.600,
   135.903,   12.620,           12.600,
   136.000,   12.620,           12.600,
   136.104,   12.620,           12.600,
   136.201,   12.620,           12.600,
   136.306,   12.620,           12.600,
   136.403,   12.620,           12.600,
   136.500,   12.620,           12.600,
   136.604,   12.620,           12.600,
   136.701,   12.620,           12.600,
   136.806,   12.620,           12.600,
   136.903,   12.620,           12.600,
   137.000,   12.620,           12.600,
   137.104,   12.620,           12.600,
   137.201,   12.620,           12.600,
   137.306,   12.620,           12.600,
   137.403,   12.620,           12.600,
   137.500,   12.620,           12.600,
   137.604,   12.620,           12.600,
   137.701,   12.620,           12.600,
   137.806,   12.620,           12.600,
   137.903,   12.620,           12.600,
   138.000,   12.620,           12.600,
   138.104,   12.620,           12.600,
   138.201,   12.620,           12.600,
   138.306,   12.620,           12.600,
   138.403,   12.620,           12.600,
   138.500,   12.620,           12.600,
   138.604,   12.620,           12.600,
   138.701,   12.620,           12.600,
   138.806,   12.620,           12.600,
   138.903,   12.620,           12.600,
   139.000,   12.620,           12.600,
   139.104,   12.620,           12.600,
   139.201,   12.620,           12.600,
   139.306,   12.620,           12.600,
   139.403,   12.620,           12.600,
   139.500,   12.620,           12.600,
   139.604,   12.620,           12.600,
   139.701,   12.620,           12.600,
   139.806,   12.620,           12.600,
   139.903,   12.620,           12.600,
   140.000,   12.620,           12.600,
   140.104,   12.620,           12.600,
   140.201,   12.620,           12.600,
   140.306,   12.620,           12.600,
   140.403,   12.620,           12.600,
   140.500,   12.620,           12.600,
   140.604,   12.620,           12.600,
   140.701,   12.620,           12.600,
   140.806,   12.620,           12.600,
   140.903,   12.620,           12.600,
   141.000,   12.620,           12.600,
   141.104,   12.620,           12.600,
   141.201,   12.620,           12.600,
   141.306,   12.620,           12.600,
   141.403,   12.620,           12.600,
   141.500,   12.620,           12.600,
   141.604,   12.620,           12.600,
   141.701,   12.620,           12.600,
   141.806,   12.620,           12.600,
   141.903,   12.620,           12.600,
   142.000,   12.620,           12.600,
   142.104,   12.620,           12.600,
   142.201,   12.620,           12.600,
   142.306,   12.620,           12.600,
   142.403,   12.620,           12.600,
   142.500,   12.620,           12.600,
   142.604,   12.620,           12.600,
   142.701,   12.620,           12.600,
   142.806,   12.620,           12.600,
   142.903,   12.620,           12.600,
   143.000,   12.620,           12.600,
   143.104,   12.620,           12.600,
   143.201,   12.620,           12.600,
   143.306,   12.620,           12.600,
   143.403,   12.620,           12.600,
   143.500,   12.620,           12.600,
   143.604,   12.620,           12.600,
   143.701,   12.620,           12.600,
   143.806,   12.620,           12.600,
   143.903,   12.620,           12.600,
   144.000,   12.620,           12.600,
   144.104,   12.620,           12.600,
   144.201,   12.620,           12.600,
   144.306,   12.620,           12.600,
   144.403,   12.620,           12.600,
   144.500,   12.620,           12.600,
   144.604,   12.620,           12.600,
   144.701,   12.620,           12.600,
   144.806,   12.620,           12.600,
   144.903,   12.620,           12.600,
   145.000,   12.620,           12.600,
   145.104,   12.620,           12.600,
   145.201,   12.620,           12.600,
   145.306,   12.620,           12.600,
   145.403,   12.620,           12.600,
   145.500,   12.620,           12.600,
   145.604,   12.620,           12.600,
   145.701,   12.620,           12.600,
   145.806,   12.620,           12.600,
   145.903,   12.620,           12.600,
   146.000,   12.620,           12.600,
   146.104,   12.620,           12.600,
   146.201,   12.620,           12.600,
   146.306,   12.620,           12.600,
   146.403,   12.620,           12.600,
   146.500,   12.620,           12.600,
   146.604,   12.620,           12.600,
   146.701,   12.620,           12.600,
   146.806,   12.620,           12.600,
   146.903,   12.620,           12.600,
   147.000,   12.620,           12.600,
   147.104,   12.620,           12.600,
   147.201,   12.620,           12.600,
   147.306,   12.620,           12.600,
   147.403,   12.620,           12.600,
   147.500,   12.620,           12.600,
   147.604,   12.620,           12.600,
   147.701,   12.620,           12.600,
   147.806,   12.620,           12.600,
   147.903,   12.620,           12.600,
   148.000,   12.620,           12.600,
   148.104,   12.620,           12.600,
   148.201,   12.620,           12.600,
   148.306,   12.620,           12.600,
   148.403,   12.620,           12.600,
   148.500,   12.620,           12.600,
   148.604,   12.620,           12.600,
   148.701,   12.620,           12.600,
   148.806,   12.620,           12.600,
   148.903,   12.620,           12.600,
   149.000,   12.620,           12.600,
   149.104,   12.620,           12.600,
   149.201,   12.620,           12.600,
   149.306,   12.620,           12.600,
   149.403,   12.620,           12.600,
   149.500,   12.620,           12.600,
   149.604,   12.620,           12.600,
   149.701,   12.620,           12.600,
   149.806,   12.620,           12.600,
   149.903,   12.620,           12.600,
   150.000,   12.620,           12.600,
   150.104,   12.620,           12.600,
   150.201,   12.620,           12.600,
   150.306,   12.620,           12.600,
   150.403,   12.620,           12.600,
   150.500,   12.620,           12.600,
   150.604,   12.620,           12.600,
   150.701,   12.620,           12.600,
   150.806,   12.620,           12.600,
   150.903,   12.620,           12.600,
   151.000,   12.620,           12.600,
   151.104,   12.620,           12.600,
   151.201,   12.620,           12.600,
